x,y,cost
20.9,-4.05,253
20.9,-4.1,253
20.9,-4.15,253
20.9,-4.2,253
20.9,-4.25,253
20.9,-4.3,253
20.9,-4.35,253
20.9,-4.4,253
20.9,-4.45,253
20.9,-4.5,253
20.9,-4.55,253
20.9,-4.6,253
20.9,-4.65,253
20.9,-4.7,253
20.9,-4.75,253
20.9,-4.8,253
20.9,-4.85,253
20.9,-4.9,253
20.9,-4.95,253
20.9,-5.0,253
20.9,-5.05,253
20.9,-5.1,253
20.9,-5.15,253
20.9,-5.2,253
20.9,-5.25,253
20.9,-5.3,253
20.9,-5.35,253
20.9,-5.4,253
20.9,-5.45,253
20.9,-5.5,253
20.9,-5.55,253
20.9,-5.6,253
20.9,-5.65,253
20.9,-5.7,253
20.9,-5.75,253
20.9,-5.8,253
20.9,-5.85,253
20.9,-5.9,253
20.95,-3.0,253
20.95,-3.05,253
20.95,-3.1,253
20.95,-3.15,253
20.95,-3.2,253
20.95,-3.25,253
20.95,-3.3,253
20.95,-3.35,253
20.95,-3.4,253
20.95,-3.45,253
20.95,-3.5,253
20.95,-3.55,253
20.95,-3.6,253
20.95,-3.65,253
20.95,-3.7,253
20.95,-3.75,253
20.95,-3.8,253
20.95,-3.85,253
20.95,-3.9,253
20.95,-3.95,253
20.95,-4.0,253
20.95,-4.05,253
20.95,-4.1,253
20.95,-4.15,253
20.95,-4.2,253
20.95,-4.25,253
20.95,-4.3,253
20.95,-4.35,253
20.95,-4.4,253
20.95,-4.45,253
20.95,-4.5,253
20.95,-4.55,253
20.95,-4.6,253
20.95,-4.65,253
20.95,-4.7,253
20.95,-4.75,253
20.95,-4.8,253
20.95,-4.85,253
20.95,-4.9,253
20.95,-4.95,253
20.95,-5.0,253
20.95,-5.05,253
20.95,-5.1,253
20.95,-5.15,253
20.95,-5.2,253
20.95,-5.25,253
20.95,-5.3,253
20.95,-5.35,253
20.95,-5.4,253
20.95,-5.45,253
20.95,-5.5,253
20.95,-5.55,253
20.95,-5.6,253
20.95,-5.65,253
20.95,-5.7,253
20.95,-5.75,253
20.95,-5.8,253
20.95,-5.85,253
20.95,-5.9,253
21.0,-3.0,253
21.0,-3.05,253
21.0,-3.1,253
21.0,-3.15,253
21.0,-3.2,253
21.0,-3.25,253
21.0,-3.3,253
21.0,-3.35,253
21.0,-3.4,253
21.0,-3.45,253
21.0,-3.5,253
21.0,-3.55,253
21.0,-3.6,253
21.0,-3.65,253
21.0,-3.7,253
21.0,-3.75,253
21.0,-3.8,253
21.0,-3.85,253
21.0,-3.9,253
21.0,-3.95,253
21.0,-4.0,253
21.0,-4.05,253
21.0,-4.1,253
21.0,-4.15,253
21.0,-4.2,253
21.0,-4.25,253
21.0,-4.3,253
21.0,-4.35,253
21.0,-4.4,253
21.0,-4.45,253
21.0,-4.5,253
21.0,-4.55,253
21.0,-4.6,253
21.0,-4.65,253
21.0,-4.7,253
21.0,-4.75,253
21.0,-4.8,253
21.0,-4.85,253
21.0,-4.9,253
21.0,-4.95,253
21.0,-5.0,253
21.0,-5.05,253
21.0,-5.1,253
21.0,-5.15,253
21.0,-5.2,253
21.0,-5.25,253
21.0,-5.3,253
21.0,-5.35,253
21.0,-5.4,253
21.0,-5.45,253
21.0,-5.5,253
21.0,-5.55,253
21.0,-5.6,253
21.0,-5.65,253
21.0,-5.7,253
21.0,-5.75,253
21.0,-5.8,253
21.0,-5.85,253
21.0,-5.9,253
21.05,-3.0,253
21.05,-3.05,253
21.05,-3.1,253
21.05,-3.15,253
